Age,Education_Level,Experience_Years,Previous_Job_Changes,Salary_Expectation,Distance_From_Home,Job_Role,Work_Mode,Job_Satisfaction,Career_Growth,Training_Hours,Stay_1_Year
24,Bachelors,1,2,35000,8,Data Analyst,Hybrid,4,4,40,Yes
28,Masters,4,1,55000,12,Data Scientist,Remote,5,5,50,Yes
35,Bachelors,10,4,70000,25,Data Engineer,Office,3,3,20,No
26,Bachelors,2,3,42000,6,ML Engineer,Hybrid,4,4,45,Yes
31,Masters,7,5,65000,30,Data Analyst,Office,2,2,15,No
23,Bachelors,1,0,32000,5,Data Analyst,Remote,5,5,60,Yes
29,Masters,5,2,58000,10,Data Scientist,Hybrid,4,5,45,Yes
38,Bachelors,12,6,75000,35,Data Engineer,Office,2,2,10,No
27,Bachelors,3,1,45000,7,ML Engineer,Hybrid,4,4,40,Yes
33,Masters,8,4,68000,28,Data Scientist,Office,3,3,20,No
25,Bachelors,2,2,40000,9,Data Analyst,Hybrid,4,4,35,Yes
41,Bachelors,15,7,80000,40,Data Engineer,Office,2,1,10,No
30,Masters,6,2,62000,15,ML Engineer,Remote,5,4,50,Yes
36,Bachelors,11,5,72000,32,Data Scientist,Office,2,3,15,No
22,Bachelors,0,0,30000,4,Data Analyst,Remote,5,5,60,Yes
34,Masters,9,4,70000,22,Data Engineer,Hybrid,3,3,25,No
28,Bachelors,4,1,50000,11,ML Engineer,Hybrid,4,4,40,Yes
39,Bachelors,13,6,76000,38,Data Engineer,Office,2,2,15,No
26,Masters,3,1,48000,8,Data Scientist,Remote,5,5,50,Yes
32,Bachelors,7,3,60000,20,Data Analyst,Office,3,3,25,No
